,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
3293,ford,33990,0,ka,manual,2017,24000,0,flex,0,0,0,0,4 portas,0,"vidro elétrico, ar condicionado",0
3294,ford,31400,hatch,ka,manual,2017,43000,1,flex,elétrica,preto,não,ka 1.0 sel tivct flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, som, sensor de ré",0
3295,ford,36800,passeio,fiesta,manual,2016,52500,0,flex,0,0,0,fiesta 1.5 16v flex mec. 5p,4 portas,0,"vidro elétrico, air bag, air bag, trava elétrica, ar condicionado, alarme",0
3296,ford,40000,sedã,focus,manual,2014,40000,1.6,flex,elétrica,cinza,sim,focus 1.6 s se se plus flex 8v 16v  5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré, c mera de ré",0
3297,ford,50000,sedã,focus,automático,2015,40000,2.02.9,flex,hidráulica,cinza,sim,focus sedan 2.0 16v 2.0 16v flex 4p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3298,vwvolkswagen,29900,passeio,fox,manual,2013,54800,1.6,flex,hidráulica,prata,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",
3299,ford,21900,sedã,fiesta,manual,2013,89500,1.6,flex,hidráulica,preto,não,fiesta 1.6 8v flex class 1.6 8v flex 5p,4 portas,ipva pago,"trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3300,vwvolkswagen,27000,hatch,fox,manual,2014,96000,0,flex,0,prata,sim,fox bluemotion 1.0 mi total flex 12v 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3301,ford,35900,hatch,ka,manual,2018,16000,1,flex,hidráulica,preto,0,ka 1.0 se 12v flex 4p manual,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",0
3302,vwvolkswagen,47000,sedã,jetta,automático,2015,138000,2.02.9,flex,hidráulica,branco,sim,jetta comfortline  2.0 t.flex 8v 4p mec.,4 portas,com multas,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3303,ford,31192,passeio,ka,manual,2018,0,1,flex,elétrica,branco,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado",0
3304,ford,32890,passeio,ka,manual,2016,65569,0,flex,0,0,0,ka 1.0 se se plus tivct flex 5p,4 portas,0,"vidro elétrico, air bag, air bag, trava elétrica, ar condicionado, alarme",0
3305,vwvolkswagen,63990,passeio,saveiro,manual,2018,27902,1.6,flex,hidráulica,preto,sim,0,2 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",0
3306,ford,34900,hatch,fiesta,manual,2016,75000,1.5,flex,hidráulica,branco,não,fiesta se 1.6 8v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3307,vwvolkswagen,42900,0,voyage,manual,2018,26488,0,flex,0,0,0,voyage trend 1.6 mi total flex 8v 4p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
3308,ford,50990,passeio,focus,manual,2016,44000,0,flex,0,0,0,focus 1.6 s se se plus flex 8v 16v  5p,4 portas,0,"vidro elétrico, air bag, air bag, trava elétrica, ar condicionado, direção hidráulica",0
3309,ford,36000,hatch,ka,manual,2018,29000,1.5,flex,elétrica,vermelho,sim,ka 1.5 se 12v flex 5p mec.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, som",0
3310,vwvolkswagen,29900,passeio,saveiro,manual,2018,25655,1.6,flex,hidráulica,branco,sim,0,2 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",
3311,ford,29887,0,focus,manual,2013,93000,0,flex,0,0,0,focus 1.6 s 1.6 se flex 16v 5p aut,0,0,0,1
3312,vwvolkswagen,24399,hatch,fox,manual,2014,66000,1,flex,hidráulica,vermelho,não,fox 1.0 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3313,ford,32990,0,ka,manual,2015,32550,0,flex,0,0,0,0,4 portas,0,"vidro elétrico, ar condicionado",0
3314,vwvolkswagen,34900,hatch,fox,manual,2015,65000,0,flex,hidráulica,branco,sim,fox comfortline 1.6 flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",
3315,vwvolkswagen,43900,passeio,saveiro,manual,2015,100,1.6,flex,elétrica,outra,não,saveiro cross 1.6 t.flex 16v cd,0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",0
3316,ford,39900,sedã,fiesta,manual,2015,57000,1.6,flex,0,branco,sim,fiesta sedan se 1.6 16v flex 4p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3317,vwvolkswagen,48500,sedã,jetta,automático,2014,47700,2.02.9,flex,hidráulica,prata,0,jetta comfortline 2.0 t.flex 8v 4p tipt.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3318,ford,48900,sedã,focus,automático,2015,0,1.6,flex,hidráulica,prata,sim,focus 1.6 s 1.6 se flex 16v 5p aut,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3319,ford,32000,sedã,focus,manual,2013,0,1.6,flex,hidráulica,prata,não,focus sedan 1.6 1.6 flex 8v 16v 4p mec.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3320,vwvolkswagen,26900,passeio,voyage,manual,2015,1525,0,flex,0,0,0,voyage  trendline 1.0 t.flex 8v 4p,4 portas,0,"air bag, air bag, ar condicionado, direção hidráulica",
3321,ford,53500,suv,ecosport,manual,2017,14496,1.6,flex,elétrica,branco,não,ecosport se 1.6 16v flex 5p mec.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3322,ford,49899,suv,ecosport,automático,2014,55000,2.02.9,flex,elétrica,branco,sim,ecosport titanium 2.0 16v flex 5p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3323,vwvolkswagen,28900,hatch,polo,manual,2018,16947,0,flex,elétrica,branco,não,polo 1.6 msi flex 16v 5p,4 portas,com multas,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3324,vwvolkswagen,35900,0,fox,manual,2015,52000,0,flex,elétrica,0,0,fox comfortline 1.6 flex 8v 5p,4 portas,0,"air bag, ar condicionado, alarme",0
3325,vwvolkswagen,24990,0,fox,manual,2014,76421,0,flex,0,0,0,0,0,0,0,
